Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0xfffffa8000ca0040:System                              4      0     79    509 2019-06-29 07:28:07 UTC+0000
. 0xfffffa80014af950:smss.exe                         256      4      3     32 2019-06-29 07:28:07 UTC+0000
 0xfffffa8001c6f760:wininit.exe                       384    320      3     75 2019-06-29 07:28:15 UTC+0000
. 0xfffffa8001cb5940:lsass.exe                        480    384      8    582 2019-06-29 07:28:17 UTC+0000
. 0xfffffa8001bc1b30:services.exe                     472    384     13    193 2019-06-29 07:28:17 UTC+0000
.. 0xfffffa8001f81b30:taskhost.exe                   1804    472     10    161 2019-06-29 07:28:42 UTC+0000
.. 0xfffffa8001ed7b30:svchost.exe                    1176    472     21    307 2019-06-29 07:28:33 UTC+0000
.. 0xfffffa8001d02b30:svchost.exe                     580    472     11    358 2019-06-29 07:28:21 UTC+0000
... 0xfffffa8002292b30:dllhost.exe                   2076    580     13    260 2019-06-29 07:29:02 UTC+0000
.. 0xfffffa8001d30b30:VBoxService.ex                  640    472     14    137 2019-06-29 07:28:21 UTC+0000
.. 0xfffffa8000e54b30:taskhost.exe                   2976    472      9    160 2019-06-29 07:29:36 UTC+0000
.. 0xfffffa8001dacb30:svchost.exe                     804    472     19    393 2019-06-29 07:28:23 UTC+0000
... 0xfffffa8001df1060:audiodg.exe                    952    804      7    131 2019-06-29 07:28:26 UTC+0000
.. 0xfffffa8002201ab0:SearchIndexer.                 1068    472     13    710 2019-06-29 07:28:58 UTC+0000
... 0xfffffa8002279890:SearchFilterHo                1688   1068      5     78 2019-06-29 07:29:02 UTC+0000
... 0xfffffa800226e910:SearchProtocol                1696   1068      7    225 2019-06-29 07:29:02 UTC+0000
.. 0xfffffa8001db9b30:svchost.exe                     840    472     21    431 2019-06-29 07:28:24 UTC+0000
... 0xfffffa8000e62b30:dwm.exe                       3000    840      5     76 2019-06-29 07:29:36 UTC+0000
... 0xfffffa80020bbb30:dwm.exe                       1908    840      5     77 2019-06-29 07:28:43 UTC+0000
.. 0xfffffa8001d43a70:svchost.exe                     708    472      7    260 2019-06-29 07:28:22 UTC+0000
.. 0xfffffa8001e1b890:svchost.exe                     220    472     16    323 2019-06-29 07:28:27 UTC+0000
.. 0xfffffa8001dc6850:svchost.exe                     864    472     37    917 2019-06-29 07:28:24 UTC+0000
... 0xfffffa8001ff9630:taskeng.exe                   1824    864      6     82 2019-06-29 07:28:42 UTC+0000
.. 0xfffffa8001e45630:svchost.exe                     484    472     18    376 2019-06-29 07:28:29 UTC+0000
.. 0xfffffa8001eaab30:spoolsv.exe                    1132    472     15    286 2019-06-29 07:28:32 UTC+0000
.. 0xfffffa8001f452e0:svchost.exe                    1276    472     14    220 2019-06-29 07:28:34 UTC+0000
. 0xfffffa8001cc1b30:lsm.exe                          488    384     12    187 2019-06-29 07:28:17 UTC+0000
 0xfffffa8001c57b30:csrss.exe                         328    320     11    385 2019-06-29 07:28:14 UTC+0000
 0xfffffa80022f6b30:GoogleCrashHan                   2284   2008      7     93 2019-06-29 07:29:08 UTC+0000
 0xfffffa80022f0610:GoogleCrashHan                   2272   2008      7     99 2019-06-29 07:29:08 UTC+0000
 0xfffffa80020f7b30:explorer.exe                     1944   1872     37    854 2019-06-29 07:28:44 UTC+0000
. 0xfffffa80020a4420:DumpIt.exe                      2624   1944      3     45 2019-06-29 07:29:25 UTC+0000
. 0xfffffa80021abab0:VBoxTray.exe                    1592   1944     13    141 2019-06-29 07:28:53 UTC+0000
 0xfffffa8001c751f0:winlogon.exe                      412    368      6    119 2019-06-29 07:28:15 UTC+0000
 0xfffffa8000ca8960:csrss.exe                         376    368      7    200 2019-06-29 07:28:15 UTC+0000
. 0xfffffa8002320350:conhost.exe                     2636    376      3     50 2019-06-29 07:29:25 UTC+0000
 0xfffffa8002330060:winlogon.exe                     2728   2692      6    121 2019-06-29 07:29:30 UTC+0000
 0xfffffa8001cac460:csrss.exe                        2700   2692      7    164 2019-06-29 07:29:30 UTC+0000
 0xfffffa8000eaeb30:explorer.exe                     3012   2992     28    677 2019-06-29 07:29:36 UTC+0000
. 0xfffffa8000eeeb30:VBoxTray.exe                    2384   3012     14    144 2019-06-29 07:29:37 UTC+0000
. 0xfffffa8000f18b30:StikyNot.exe                    2432   3012     10    137 2019-06-29 07:29:37 UTC+0000
